Kode,Nama Perusahaan,Tahun,Saham Institusional,Saham Beredar,X1,Total Komite Audit (X2),Jml Komisaris Independen,Total Dewan Komisaris,X3,Direksi Perempuan,Total Direksi,X4,Saham Manajemen,Saham Beredar (KM),X5,Beban Pajak,Laba Sebelum Pajak,Y
AALI,Astra Agro Lestari Tbk.,2022,1533682440.0,1924688333.0,0.7968471641377171,3,2.0,4.0,0.5,0.0,7.0,0.0,0,1924688333.0,0.0,637128000000.0,2429178000000.0,0.26228131491393386
AALI,Astra Agro Lestari Tbk.,2023,1533682440.0,1924688333.0,0.7968471641377171,3,2.0,4.0,0.5,0.0,7.0,0.0,0.0,1924688333.0,0.0,410232000000.0,1498403000000.0,0.27377948389051543
AALI,Astra Agro Lestari Tbk.,2024,1533682440.0,1924688333.0,0.7968471641377171,3,2.0,4.0,0.5,1.0,7.0,0.14285714285714285,0.0,1924688333.0,0.0,520345000000.0,1707128000000.0,0.3048072552263216
ADES,Akasha Wira International Tbk.,2022,539896713.0,589896800.0,0.9152392638848016,3,1.0,3.0,0.3333333333333333,0.0,2.0,0.0,4000.0,589896800.0,6.780847090541939e-06,99336000000.0,464308000000.0,0.21394419221723512
ADES,Akasha Wira International Tbk.,2023,539896713.0,589896800.0,0.9152392638848016,3,1.0,3.0,0.3333333333333333,0.0,2.0,0.0,4000.0,589896800.0,6.780847090541939e-06,107866000000.0,503664000000.0,0.21416261634740622
ADES,Akasha Wira International Tbk.,2024,538896713.0,589896800.0,0.913544052112166,3,1.0,3.0,0.3333333333333333,1.0,3.0,0.3333333333333333,11900.0,589896800.0,2.017302009436227e-05,140360000000.0,667728000000.0,0.21020535307789998
AMRT,Sumber Alfaria Trijaya Tbk.,2022,22084986056.0,41524501700.0,0.5318543306204202,3,3.0,5.0,0.6,0.0,6.0,0.0,651290700.0,41524501700.0,0.015684491645567417,659310000000.0,3566789000000.0,0.1848469309510599
AMRT,Sumber Alfaria Trijaya Tbk.,2023,22084986056.0,41524501700.0,0.5318543306204202,3,2.0,4.0,0.5,0.0,6.0,0.0,595559800.0,41524501700.0,0.014342370783946096,798322000000.0,4282347000000.0,0.18642160478821543
AMRT,Sumber Alfaria Trijaya Tbk.,2024,22084986056.0,41524501700.0,0.5318543306204202,3,2.0,4.0,0.5,0.0,6.0,0.0,561154800.0,41524501700.0,0.013513823815494456,792102000000.0,4012185000000.0,0.19742409684498596
ANJT,Austindo Nusantara Jaya Tbk.,2022,2740100024.0,3354175000.0,0.8169222011373884,3,3.0,8.0,0.375,1.0,5.0,0.2,329789727.0,3333204088.0,0.09894075438923439,208633171875.0,539184546875.0,0.3869420462514994
ANJT,Austindo Nusantara Jaya Tbk.,2023,2740100024.0,3354175000.0,0.8169222011373884,3,3.0,7.0,0.42857142857142855,1.0,6.0,0.16666666666666666,330989727.0,3354175000.0,0.09867992188839282,208633171875.0,539184546875.0,0.3869420462514994
ANJT,Austindo Nusantara Jaya Tbk.,2024,2740100024.0,3354175000.0,0.8169222011373884,3,2.0,7.0,0.2857142857142857,1.0,6.0,0.16666666666666666,330989727.0,3354175000.0,0.09867992188839282,119782359375.0,318069390625.0,0.3765919101477513
BISI,BISI International Tbk.,2022,1624312500.0,3000000000.0,0.5414375,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,2748900.0,3000000000.0,0.0009163,126601000000.0,649844000000.0,0.19481752543687408
BISI,BISI International Tbk.,2023,1624312500.0,3000000000.0,0.5414375,3,2.0,4.0,0.5,0.0,6.0,0.0,3232900.0,3000000000.0,0.0010776333333333333,138155000000.0,733895000000.0,0.18824900019757596
BISI,BISI International Tbk.,2024,1961185100.0,3000000000.0,0.6537283666666667,3,2.0,4.0,0.5,0.0,4.0,0.0,3058900.0,3000000000.0,0.0010196333333333334,56340000000.0,234980000000.0,0.2397650863903311
CAMP,Campina Ice Cream Industry Tbk,2022,11214300.0,5885000000.0,0.0019055734919286322,3,1.0,2.0,0.5,0.0,5.0,0.0,50750000.0,5885000000.0,0.008623619371282922,32656976880.0,153914313784.0,0.21217634719685716
CAMP,Campina Ice Cream Industry Tbk,2023,12637400.0,5885000000.0,0.0021473916737468138,3,1.0,2.0,0.5,0.0,5.0,0.0,89480900.0,5885000000.0,0.015204910790144435,33251940941.0,160678405480.0,0.20694716780182976
CAMP,Campina Ice Cream Industry Tbk,2024,54444400.0,5885000000.0,0.009251384876805437,3,1.0,2.0,0.5,0.0,5.0,0.0,89480900.0,5885000000.0,0.015204910790144435,27234137929.0,123791536043.0,0.21999999999628408
CEKA,Wilmar Cahaya Indonesia Tbk.,2022,517771000.0,595000000.0,0.8702033613445378,3,1.0,3.0,0.3333333333333333,1.0,3.0,0.3333333333333333,0.0,595000000.0,0.0,62444562911.0,283149105983.0,0.22053597059476188
CEKA,Wilmar Cahaya Indonesia Tbk.,2023,517771000.0,595000000.0,0.8702033613445378,3,1.0,2.0,0.5,1.0,3.0,0.3333333333333333,0.0,595000000.0,0.0,42232841486.0,195807621110.0,0.21568538163422457
CEKA,Wilmar Cahaya Indonesia Tbk.,2024,517771000.0,595000000.0,0.8702033613445378,3,1.0,2.0,0.5,1.0,3.0,0.3333333333333333,0.0,595000000.0,0.0,87806165261.0,412748681710.0,0.21273518039409076
CLEO,Sariguna Primatirta Tbk.,2022,9225600000.0,12000000000.0,0.7688,3,1.0,3.0,0.3333333333333333,2.0,6.0,0.3333333333333333,105061600.0,11959987600.0,0.00878442382331567,53264811906.0,248863660595.0,0.2140321000609366
CLEO,Sariguna Primatirta Tbk.,2023,9225600000.0,12000000000.0,0.7688,3,1.0,3.0,0.3333333333333333,1.0,5.0,0.2,125311600.0,11959987600.0,0.010477569391459904,88115971123.0,412208114325.0,0.21376573643459656
CLEO,Sariguna Primatirta Tbk.,2024,9225600000.0,12000000000.0,0.7688,3,1.0,3.0,0.3333333333333333,1.0,5.0,0.2,125311600.0,11959987600.0,0.010477569391459904,130820142985.0,604839392838.0,0.21628905877173715
CMRY,Cisarua Mountain Dairy Tbk.,2022,1502169950.0,7934683000.0,0.0019055734919286322,3,1.0,3.0,0.3333333333333333,0.0,5.0,0.0,6070432000.0,7934683000.0,0.7650503492073975,282128000000.0,1342710000000.0,0.21011834275457844
CMRY,Cisarua Mountain Dairy Tbk.,2023,1811872546.0,7934683000.0,0.0021473916737468138,4,1.0,3.0,0.3333333333333333,0.0,5.0,0.0,5965562100.0,7934683000.0,0.7518337027452766,319378000000.0,1561158000000.0,0.20457762763282128
CMRY,Cisarua Mountain Dairy Tbk.,2024,1881322419.0,7934683000.0,0.009251384876805437,4,1.0,3.0,0.3333333333333333,0.0,6.0,0.0,5957444200.0,7934683000.0,0.7508106120937661,385367000000.0,1904792000000.0,0.20231447843124079
CPIN,Charoen Pokphand Indonesia Tbk,2022,16281428294.0,16398000000.0,0.9928911022075863,3,1.0,3.0,0.3333333333333333,1.0,6.0,0.16666666666666666,0.0,16398000000.0,0.0,606820000000.0,3540000000000.0,0.1714180790960452
