No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
1,AALI,Astra Agro Lestari Tbk.,2022,0.7968471641,3.0,0.5,0.0,0.0,0.2622813149
2,AALI,Astra Agro Lestari Tbk.,2023,0.7968471641,3.0,0.5,0.0,0.0,0.2737794839
3,AALI,Astra Agro Lestari Tbk.,2024,0.7968471641,3.0,0.5,0.1428571429,0.0,0.3048072552
4,ADES,Akasha Wira International Tbk.,2022,0.9152392639,3.0,0.3333333333,0.0,6.7808e-06,0.2139441922
5,ADES,Akasha Wira International Tbk.,2023,0.9152392639,3.0,0.3333333333,0.0,6.7808e-06,0.2141626163
6,ADES,Akasha Wira International Tbk.,2024,0.9135440521,3.0,0.3333333333,0.3333333333,2.0173e-05,0.2102053531
7,AMRT,Sumber Alfaria Trijaya Tbk.,2022,0.5318543306,3.0,0.6,0.0,0.0156844916,0.184846931
8,AMRT,Sumber Alfaria Trijaya Tbk.,2023,0.5318543306,3.0,0.5,0.0,0.0143423708,0.1864216048
9,AMRT,Sumber Alfaria Trijaya Tbk.,2024,0.5318543306,3.0,0.5,0.0,0.0135138238,0.1974240968
10,ANJT,Austindo Nusantara Jaya Tbk.,2022,0.8169222011,3.0,0.375,0.2,0.0989407544,0.3869420463
11,ANJT,Austindo Nusantara Jaya Tbk.,2023,0.8169222011,3.0,0.4285714286,0.1666666667,0.0986799219,0.3869420463
12,ANJT,Austindo Nusantara Jaya Tbk.,2024,0.8169222011,3.0,0.3333333333,0.1666666667,0.0986799219,0.3765919101
13,BISI,BISI International Tbk.,2022,0.5414375,3.0,0.3333333333,0.0,0.0009163,0.1948175254
14,BISI,BISI International Tbk.,2023,0.5414375,3.0,0.5,0.0,0.0010776333,0.1882490002
15,BISI,BISI International Tbk.,2024,0.6537283667,3.0,0.5,0.0,0.0010196333,0.2397650864
16,CAMP,Campina Ice Cream Industry Tbk,2022,0.0679274407,3.0,0.5,0.0,0.0086236194,0.2121763472
17,CAMP,Campina Ice Cream Industry Tbk,2023,0.0679274407,3.0,0.5,0.0,0.0152049108,0.2069471678
18,CAMP,Campina Ice Cream Industry Tbk,2024,0.0679274407,3.0,0.5,0.0,0.0152049108,0.22
19,CEKA,Wilmar Cahaya Indonesia Tbk.,2022,0.8702033613,3.0,0.3333333333,0.3333333333,0.0,0.2205359706
20,CEKA,Wilmar Cahaya Indonesia Tbk.,2023,0.8702033613,3.0,0.5,0.3333333333,0.0,0.2156853816
21,CEKA,Wilmar Cahaya Indonesia Tbk.,2024,0.8702033613,3.0,0.5,0.3333333333,0.0,0.2127351804
22,CLEO,Sariguna Primatirta Tbk.,2022,0.7688,3.0,0.3333333333,0.3333333333,0.0087844238,0.2140321001
23,CLEO,Sariguna Primatirta Tbk.,2023,0.7688,3.0,0.3333333333,0.2,0.0104775694,0.2137657364
