X1,X2,X3,X4,X5,Y
0.7968471641,3.0,0.5,0.0,0.0,0.2622813149
0.7968471641,3.0,0.5,0.0,0.0,0.2737794839
0.7968471641,3.0,0.5,0.1428571429,0.0,0.3048072552
0.9152392639,3.0,0.3333333333,0.0,6.7808e-06,0.2139441922
0.9152392639,3.0,0.3333333333,0.0,6.7808e-06,0.2141626163
0.9135440521,3.0,0.3333333333,0.3333333333,2.0173e-05,0.2102053531
0.5318543306,3.0,0.6,0.0,0.0156844916,0.184846931
0.5318543306,3.0,0.5,0.0,0.0143423708,0.1864216048
0.5318543306,3.0,0.5,0.0,0.0135138238,0.1974240968
0.8169222011,3.0,0.375,0.2,0.0989407544,0.3869420463
0.8169222011,3.0,0.4285714286,0.1666666667,0.0986799219,0.3869420463
0.8169222011,3.0,0.3333333333,0.1666666667,0.0986799219,0.3765919101
0.5414375,3.0,0.3333333333,0.0,0.0009163,0.1948175254
0.5414375,3.0,0.5,0.0,0.0010776333,0.1882490002
0.6537283667,3.0,0.5,0.0,0.0010196333,0.2397650864
0.0679274407,3.0,0.5,0.0,0.0086236194,0.2121763472
0.0679274407,3.0,0.5,0.0,0.0152049108,0.2069471678
0.0679274407,3.0,0.5,0.0,0.0152049108,0.22
0.8702033613,3.0,0.3333333333,0.3333333333,0.0,0.2205359706
0.8702033613,3.0,0.5,0.3333333333,0.0,0.2156853816
0.8702033613,3.0,0.5,0.3333333333,0.0,0.2127351804
0.7688,3.0,0.3333333333,0.3333333333,0.0087844238,0.2140321001
0.7688,3.0,0.3333333333,0.2,0.0104775694,0.2137657364
0.7688,3.0,0.3333333333,0.2,0.0104775694,0.2162890588
0.0679274407,3.0,0.3333333333,0.0,0.5446682651,0.2101183428
0.0679274407,4.0,0.3333333333,0.0,0.5446682651,0.2045776276
0.0679274407,4.0,0.3333333333,0.0,0.5446682651,0.2023144784
0.9899547555,3.0,0.3333333333,0.1666666667,0.0,0.1714180791
0.9899547555,3.0,0.5,0.1666666667,0.0,0.22650085
0.9899547555,3.0,0.5,0.1666666667,0.0,0.2938829843
0.8056326629,3.0,0.3333333333,0.0,0.0001905279,0.2154510687
0.7911395586,3.0,0.5,0.0,0.0001905279,0.2311472492
0.9899547555,3.0,0.5,0.0,0.0001905279,0.2869392655
0.9118223912,3.0,0.3333333333,0.0,0.0,0.235456008
0.8697155473,3.0,0.3333333333,0.0,0.0,0.2640597762
0.8689508907,3.0,0.3333333333,0.0,0.0,0.2583171895
0.6694558064,3.0,0.4,0.0,0.0,0.2180262094
0.6638976353,3.0,0.4,0.0,0.0,0.2051468095
0.66039602,3.0,0.4,0.0,0.0,0.2149887332
0.2061426657,3.0,0.6,0.0,0.3963483309,0.2339130871
0.2061500271,3.0,0.6666666667,0.0,0.3963483309,0.2276608929
0.2755893828,3.0,0.6666666667,0.0,0.3492568367,0.2187819483
0.6929469874,3.0,0.4,0.25,0.0,0.1700674807
0.6929469874,3.0,0.4,0.25,0.0,0.2243220448
0.6929469874,3.0,0.4,0.25,0.0,0.2182473367
0.7559386307,3.0,0.3333333333,0.3333333333,0.0917671663,0.2506731966
0.7581191254,3.0,0.3333333333,0.25,0.1461045308,0.2621135623
0.7717414129,3.0,0.3333333333,0.25,0.1461045308,0.3040464239
0.979341481,3.0,0.3333333333,0.0,0.0017122497,0.2315841792
0.9552895088,3.0,0.4,0.25,0.0017122497,0.2253056861
0.9796233789,3.0,0.4,0.25,0.0017122497,0.2281642966
0.8499999917,3.0,0.5,0.0,0.0,0.2459361705
0.9899547555,3.0,0.5,0.0,0.0,0.3529001037
0.9899547555,3.0,0.5,0.0,0.0,0.2623343865
0.8947627083,3.0,0.5,0.2,0.0,0.2220083893
0.8947627083,3.0,0.5,0.3333333333,0.0,0.2391902985
0.8946377083,3.0,0.5,0.3333333333,0.0,0.3408791782
0.91,3.0,0.5,0.0,0.0067288658,0.2377002628
0.899,3.0,0.5,0.0,0.0067288658,0.2239238015
0.897,3.0,0.5,0.0,0.0067288658,0.2997028319
0.5172313154,3.0,0.3333333333,0.0,0.0923040015,0.2262322547
0.5071979291,3.0,0.3333333333,0.0,0.1711929246,0.2318588503
0.4223345418,3.0,0.3333333333,0.0,0.1972716462,0.1998936555
0.72746025,3.0,0.3333333333,0.0,0.2669101833,0.1869993673
0.6488905833,3.0,0.3333333333,0.0,0.2667435167,0.3892868158
0.6488905833,3.0,0.3333333333,0.0,0.2667435167,0.2292302182
0.9536358439,3.0,0.5,0.4532467532,0.0,0.2356220353
0.9535855591,3.0,0.5,0.1428571429,0.0,0.2147566925
0.9504530037,3.0,0.5,0.125,0.0,0.2348529759
0.8053294538,3.0,0.5,0.0625,0.0,0.2396144516
0.8053294538,3.0,0.5,0.0,0.0,0.2603451224
0.8053294538,3.0,0.5,0.0,0.0,0.2335752052
0.9659,3.0,0.375,0.1052631579,0.00015717,0.2537751146
0.9454,3.0,0.375,0.1052631579,0.00015717,0.263948104
0.9652,3.0,0.375,0.1052631579,0.00015717,0.232531496
0.0701590271,3.0,0.5,0.25,0.5446682651,0.2579786617
0.0701590271,3.0,0.5,0.25,0.5446682651,0.2555204395
0.0701590271,3.0,0.5,0.25,0.5446682651,0.2771352732
0.8993096658,3.0,0.5,0.0,0.000254533,0.2371916712
0.8971093442,3.0,0.5,0.0,0.0002346295,0.250004559
0.932008282,3.0,0.5,0.0,0.0002124576,0.2426360471
0.9060844,3.0,0.3333333333,0.0,0.0,0.2195570245
0.9060962,3.0,0.3333333333,0.0,0.0032039333,0.2198301318
0.9063164667,3.0,0.3333333333,0.0,0.0052949333,0.2103045238
0.7619047638,3.0,0.5,0.25,0.0280317588,0.2163104867
0.7619047638,3.0,0.5,0.25,0.0280317588,0.212113691
0.7619047638,3.0,0.3333333333,0.2,0.0280317588,0.210281683
0.5961901457,3.0,0.4,0.1111111111,3.10852e-05,0.1934048811
0.5961901457,3.0,0.4,0.1111111111,3.10852e-05,0.1678494568
0.5961901457,3.0,0.4,0.2222222222,3.10852e-05,0.1678494568
0.572704921,3.0,0.6,0.0,0.0033009939,0.1763020915
0.572704921,3.0,0.6,0.0,0.0033923395,0.3892868158
0.572704921,3.0,0.6,0.0,0.0036022781,0.2353734111
0.9585427253,3.0,0.5,0.2,0.0065051019,0.1937291549
0.9414764413,3.0,0.6666666667,0.4,0.0067132652,0.1881026512
0.9601259036,3.0,0.6666666667,0.4,0.0067132652,0.2775405416
0.8931898434,3.0,0.5,0.4532467532,0.0,0.2579898547
