No,Kode,Nama Perusahaan,Sektor
1,AALI,Astra Agro Lestari Tbk.,KONSUMSI BARANG PRIMER
2,ADES,Akasha Wira International Tbk.,KONSUMSI BARANG PRIMER
3,AMRT,Sumber Alfaria Trijaya Tbk.,KONSUMSI BARANG PRIMER
4,ANJT,Austindo Nusantara Jaya Tbk.,KONSUMSI BARANG PRIMER
5,BISI,BISI International Tbk.,KONSUMSI BARANG PRIMER
6,CAMP,Campina Ice Cream Industry Tbk,KONSUMSI BARANG PRIMER
7,CEKA,Wilmar Cahaya Indonesia Tbk.,KONSUMSI BARANG PRIMER
8,CLEO,Sariguna Primatirta Tbk.,KONSUMSI BARANG PRIMER
9,CMRY,Cisarua Mountain Dairy Tbk.,KONSUMSI BARANG PRIMER
10,CPIN,Charoen Pokphand Indonesia Tbk,KONSUMSI BARANG PRIMER
11,CPRO,Central Proteina Prima Tbk.,KONSUMSI BARANG PRIMER
12,CSRA,Cisadane Sawit Raya Tbk.,KONSUMSI BARANG PRIMER
13,DLTA,Delta Djakarta Tbk.,KONSUMSI BARANG PRIMER
14,DMND,Diamond Food Indonesia Tbk.,KONSUMSI BARANG PRIMER
15,DSFI,Dharma Samudera Fishing Indust,KONSUMSI BARANG PRIMER
16,DSNG,Dharma Satya Nusantara Tbk.,KONSUMSI BARANG PRIMER
17,EPMT,Enseval Putera Megatrading Tbk,KONSUMSI BARANG PRIMER
18,FAPA,FAP Agri Tbk.,KONSUMSI BARANG PRIMER
19,FISH,FKS Multi Agro Tbk.,KONSUMSI BARANG PRIMER
20,GGRM,Gudang Garam Tbk.,KONSUMSI BARANG PRIMER
21,GOOD,Garudafood Putra Putri Jaya Tb,KONSUMSI BARANG PRIMER
22,GZCO,Gozco Plantations Tbk.,KONSUMSI BARANG PRIMER
23,HMSP,H.M. Sampoerna Tbk.,KONSUMSI BARANG PRIMER
24,ICBP,Indofood CBP Sukses Makmur Tbk,KONSUMSI BARANG PRIMER
25,INDF,Indofood Sukses Makmur Tbk.,KONSUMSI BARANG PRIMER
26,ITIC,Indonesian Tobacco Tbk.,KONSUMSI BARANG PRIMER
27,JPFA,Japfa Comfeed Indonesia Tbk.,KONSUMSI BARANG PRIMER
28,KEJU,Mulia Boga Raya Tbk.,KONSUMSI BARANG PRIMER
29,KMDS,Kurniamitra Duta Sentosa Tbk.,KONSUMSI BARANG PRIMER
30,LSIP,PP London Sumatra Indonesia Tb,KONSUMSI BARANG PRIMER
31,MAIN,Malindo Feedmill Tbk.,KONSUMSI BARANG PRIMER
32,MIDI,Midi Utama Indonesia Tbk.,KONSUMSI BARANG PRIMER
33,MLBI,Multi Bintang Indonesia Tbk.,KONSUMSI BARANG PRIMER
34,MLPL,Multipolar Tbk.,KONSUMSI BARANG PRIMER
35,MYOR,Mayora Indah Tbk.,KONSUMSI BARANG PRIMER
36,PGUN,Pradiksi Gunatama Tbk.,KONSUMSI BARANG PRIMER
37,PSGO,Palma Serasih Tbk.,KONSUMSI BARANG PRIMER
38,ROTI,Nippon Indosari Corpindo Tbk.,KONSUMSI BARANG PRIMER
39,SDPC,Millennium Pharmacon Internati,KONSUMSI BARANG PRIMER
40,SGRO,Sampoerna Agro Tbk.,KONSUMSI BARANG PRIMER
41,SIMP,Salim Ivomas Pratama Tbk.,KONSUMSI BARANG PRIMER
42,SKLT,Sekar Laut Tbk.,KONSUMSI BARANG PRIMER
43,SMAR,Smart Tbk.,KONSUMSI BARANG PRIMER
44,SSMS,Sawit Sumbermas Sarana Tbk.,KONSUMSI BARANG PRIMER
45,STTP,Siantar Top Tbk.,KONSUMSI BARANG PRIMER
46,TAPG,Triputra Agro Persada Tbk.,KONSUMSI BARANG PRIMER
47,TBLA,Tunas Baru Lampung Tbk.,KONSUMSI BARANG PRIMER
48,TGKA,Tigaraksa Satria Tbk.,KONSUMSI BARANG PRIMER
49,UCID,Uni-Charm Indonesia Tbk.,KONSUMSI BARANG PRIMER
50,ULTJ,Ultrajaya Milk Industry & Trad,KONSUMSI BARANG PRIMER
51,UNSP,Bakrie Sumatera Plantations Tb,KONSUMSI BARANG PRIMER
52,UNVR,Unilever Indonesia Tbk.,KONSUMSI BARANG PRIMER
53,VICI,Victoria Care Indonesia Tbk.,KONSUMSI BARANG PRIMER
54,WIIM,Wismilak Inti Makmur Tbk.,KONSUMSI BARANG PRIMER
