No,Kode,Nama Perusahaan,Tahun,Total Aset (ISI),Total Liabilitas (ISI),Total Ekuitas (ISI),Laba Sebelum Pajak (ada),Beban Pajak (ada)
1,AALI,Astra Agro Lestari Tbk.,2022,,,,2429178000000.0,637128000000.0
2,AALI,Astra Agro Lestari Tbk.,2023,,,,1498403000000.0,410232000000.0
3,AALI,Astra Agro Lestari Tbk.,2024,,,,1707128000000.0,520345000000.0
4,ADES,Akasha Wira International Tbk.,2022,,,,464308000000.0,99336000000.0
5,ADES,Akasha Wira International Tbk.,2023,,,,503664000000.0,107866000000.0
6,ADES,Akasha Wira International Tbk.,2024,,,,667728000000.0,140360000000.0
7,AMRT,Sumber Alfaria Trijaya Tbk.,2022,,,,3566789000000.0,659310000000.0
8,AMRT,Sumber Alfaria Trijaya Tbk.,2023,,,,4282347000000.0,798322000000.0
9,AMRT,Sumber Alfaria Trijaya Tbk.,2024,,,,4012185000000.0,792102000000.0
10,ANJT,Austindo Nusantara Jaya Tbk.,2022,,,,539184546875.0,208633171875.0
11,ANJT,Austindo Nusantara Jaya Tbk.,2023,,,,539184546875.0,208633171875.0
12,ANJT,Austindo Nusantara Jaya Tbk.,2024,,,,318069390625.0,119782359375.0
13,BISI,BISI International Tbk.,2022,,,,649844000000.0,126601000000.0
14,BISI,BISI International Tbk.,2023,,,,733895000000.0,138155000000.0
15,BISI,BISI International Tbk.,2024,,,,234980000000.0,56340000000.0
16,CAMP,Campina Ice Cream Industry Tbk,2022,,,,153914313784.0,32656976880.0
17,CAMP,Campina Ice Cream Industry Tbk,2023,,,,160678405480.0,33251940941.0
18,CAMP,Campina Ice Cream Industry Tbk,2024,,,,123791536043.0,27234137929.0
19,CEKA,Wilmar Cahaya Indonesia Tbk.,2022,,,,283149105983.0,62444562911.0
20,CEKA,Wilmar Cahaya Indonesia Tbk.,2023,,,,195807621110.0,42232841486.0
21,CEKA,Wilmar Cahaya Indonesia Tbk.,2024,,,,412748681710.0,87806165261.0
22,CLEO,Sariguna Primatirta Tbk.,2022,,,,248863660595.0,53264811906.0
23,CLEO,Sariguna Primatirta Tbk.,2023,,,,412208114325.0,88115971123.0
24,CLEO,Sariguna Primatirta Tbk.,2024,,,,604839392838.0,130820142985.0
25,CMRY,Cisarua Mountain Dairy Tbk.,2022,,,,1342710000000.0,282128000000.0
26,CMRY,Cisarua Mountain Dairy Tbk.,2023,,,,1561158000000.0,319378000000.0
27,CMRY,Cisarua Mountain Dairy Tbk.,2024,,,,1904792000000.0,385367000000.0
28,CPIN,Charoen Pokphand Indonesia Tbk,2022,,,,3540000000000.0,606820000000.0
29,CPIN,Charoen Pokphand Indonesia Tbk,2023,,,,2996885000000.0,678797000000.0
30,CPIN,Charoen Pokphand Indonesia Tbk,2024,,,,5256354000000.0,1544753000000.0
31,CPRO,Central Proteina Prima Tbk.,2022,,,,476679000000.0,102701000000.0
32,CPRO,Central Proteina Prima Tbk.,2023,,,,522563000000.0,120789000000.0
33,CPRO,Central Proteina Prima Tbk.,2024,,,,448987000000.0,128832000000.0
34,CSRA,Cisadane Sawit Raya Tbk.,2022,,,,330140150685.0,77733481954.0
35,CSRA,Cisadane Sawit Raya Tbk.,2023,,,,198574536830.0,52435547763.0
36,CSRA,Cisadane Sawit Raya Tbk.,2024,,,,289685678422.0,74830790289.0
37,DLTA,Delta Djakarta Tbk.,2022,,,,294211660000.0,64145853000.0
38,DLTA,Delta Djakarta Tbk.,2023,,,,251130452000.0,51518611000.0
39,DLTA,Delta Djakarta Tbk.,2024,,,,181357141000.0,38989742000.0
40,DMND,Diamond Food Indonesia Tbk.,2022,,,,498775000000.0,116670000000.0
41,DMND,Diamond Food Indonesia Tbk.,2023,,,,413132000000.0,94054000000.0
42,DMND,Diamond Food Indonesia Tbk.,2024,,,,465596000000.0,101864000000.0
43,DSFI,Dharma Samudera Fishing Indust,2022,,,,25763792382.0,4381583263.0
44,DSFI,Dharma Samudera Fishing Indust,2023,,,,15583556884.0,3495735345.0
45,DSFI,Dharma Samudera Fishing Indust,2024,,,,15932353861.0,3477193797.0
